城市名 区/显 电影院名字 电影院主页url
北京 丰台区 唐阁影城（京荟店） https://maoyan.com/cinema/26463?poi=190798068
北京 大兴区 唐阁影城（亦庄店） https://maoyan.com/cinema/11132?poi=5165994
北京 大兴区 CGV影城（亦庄店） https://maoyan.com/cinema/16152?poi=105355906
北京 大兴区 华夏天合国际影城 https://maoyan.com/cinema/16680?poi=131682620
北京 大兴区 大兴影剧院 https://maoyan.com/cinema/179?poi=324698
北京 大兴区 保利国际影城（绿地缤纷城店） https://maoyan.com/cinema/2392?poi=1481117
北京 大兴区 星美国际影商城（西红门店） https://maoyan.com/cinema/6057?poi=2490890
北京 大兴区 耀莱成龙影城（西红门店） https://maoyan.com/cinema/11082?poi=41278576
北京 大兴区 金逸影城（荟聚IMAX店） https://maoyan.com/cinema/10987?poi=40697227
北京 大兴区 卢米埃影城（住总万科店） https://maoyan.com/cinema/15773?poi=93511270
北京 大兴区 保利国际影城（万源店） https://maoyan.com/cinema/129?poi=299479
北京 大兴区 华美国际影城 https://maoyan.com/cinema/2598?poi=6685358
北京 大兴区 最影城 https://maoyan.com/cinema/15018?poi=95968537
北京 大兴区 中传国际影城（亦庄店） https://maoyan.com/cinema/15294?poi=93839693
北京 大兴区 大料国际影城（创意生活广场店） https://maoyan.com/cinema/34?poi=82601
北京 大兴区 CGV影城（天宫院凯德店） https://maoyan.com/cinema/26314?poi=189992899
北京 大兴区 京南电影院 https://maoyan.com/cinema/26520?poi=191115805
北京 大兴区 SFC上影影城（北京大兴龙湖IMAX店） https://maoyan.com/cinema/15915?poi=96251713
北京 大兴区 新华国际影城（大兴店） https://maoyan.com/cinema/11?poi=86394
北京 大兴区 明星时代影城（远洋天著店） https://maoyan.com/cinema/24295?poi=164152307
北京 大兴区 玫瑰之约汽车影院（半壁店） https://maoyan.com/cinema/14054?poi=51400779
北京 东城区 青春光线电影院 https://maoyan.com/cinema/15280?poi=99389254
北京 东城区 百丽宫影城（金宝汇店） https://maoyan.com/cinema/122?poi=1076058
北京 东城区 耀莱成龙影城（王府井店） https://maoyan.com/cinema/10781?poi=6074394
北京 东城区 百老汇影城（东方广场店） https://maoyan.com/cinema/269?poi=271409
北京 东城区 搜秀影城 https://maoyan.com/cinema/270?poi=82579
北京 东城区 百老汇影城（国瑞购物中心店） https://maoyan.com/cinema/119?poi=1048975
北京 东城区 传奇奢华影城 https://maoyan.com/cinema/16605?poi=1460422
北京 东城区 百老汇影城（apm购物中心店） https://maoyan.com/cinema/267?poi=271444
北京 东城区 东宫影剧院 https://maoyan.com/cinema/242?poi=60166
北京 东城区 保利国际影城（天安门店） https://maoyan.com/cinema/17023?poi=150609037
北京 东城区 横店电影城（王府井店） https://maoyan.com/cinema/79?poi=1549949
北京 东城区 首都电影院（中华店） https://maoyan.com/cinema/15270?poi=93439511
北京 东城区 三克影院（来福士店） https://maoyan.com/cinema/25125?poi=165735819
北京 东城区 东城图书馆影剧院 https://maoyan.com/cinema/4541?poi=271413
北京 东城区 北京站电影院 https://maoyan.com/cinema/14472?poi=52795616
北京 房山区 SFC上影影城（北京房山店） https://maoyan.com/cinema/13618?poi=52294367
北京 房山区 良乡影剧院 https://maoyan.com/cinema/145?poi=1436368
北京 房山区 环球国际影城（北京房山店） https://maoyan.com/cinema/9370?poi=5252975
北京 房山区 幸福蓝海国际影城（北京房山店） https://maoyan.com/cinema/13028?poi=40470614
北京 房山区 燕山影剧院 https://maoyan.com/cinema/60?poi=271449
北京 房山区 万达影城（房山首创奥莱店） https://maoyan.com/cinema/27189?poi=193725332
